year,president,party
1879,Rutherford B. Hayes,Republican
1880,Rutherford B. Hayes,Republican
1881,James A. Garfield,Republican
1882,Chester A. Arthur,Republican
1883,Chester A. Arthur,Republican
1884,Chester A. Arthur,Republican
1885,Grover Cleveland,Democrat
1886,Grover Cleveland,Democrat
1887,Grover Cleveland,Democrat
1888,Grover Cleveland,Democrat
1889,Benjamin Harrison,Republican
1890,Benjamin Harrison,Republican
1891,Benjamin Harrison,Republican
1892,Benjamin Harrison,Republican
1893,Grover Cleveland,Democrat
1894,Grover Cleveland,Democrat
1895,Grover Cleveland,Democrat
1896,Grover Cleveland,Democrat
1897,William McKinley,Republican
1898,William McKinley,Republican
1899,William McKinley,Republican
1900,William McKinley,Republican
1901,Theodore Roosevelt,Republican
1902,Theodore Roosevelt,Republican
1903,Theodore Roosevelt,Republican
1904,Theodore Roosevelt,Republican
1905,Theodore Roosevelt,Republican
1906,Theodore Roosevelt,Republican
1907,Theodore Roosevelt,Republican
1908,Theodore Roosevelt,Republican
1909,William Howard Taft,Republican
1910,William Howard Taft,Republican
1911,William Howard Taft,Republican
1912,William Howard Taft,Republican
1913,Woodrow Wilson,Democrat
1914,Woodrow Wilson,Democrat
1915,Woodrow Wilson,Democrat
1916,Woodrow Wilson,Democrat
1917,Woodrow Wilson,Democrat
1918,Woodrow Wilson,Democrat
1919,Woodrow Wilson,Democrat
1920,Woodrow Wilson,Democrat
1921,Warren G. Harding,Republican
1922,Warren G. Harding,Republican
1923,Calvin Coolidge,Republican
1924,Calvin Coolidge,Republican
1925,Calvin Coolidge,Republican
1926,Calvin Coolidge,Republican
1927,Calvin Coolidge,Republican
1928,Calvin Coolidge,Republican
1929,Herbert Hoover,Republican
1930,Herbert Hoover,Republican
1931,Herbert Hoover,Republican
1932,Herbert Hoover,Republican
1933,Franklin Roosevelt,Democrat
1934,Franklin Roosevelt,Democrat
1935,Franklin Roosevelt,Democrat
1936,Franklin Roosevelt,Democrat
1937,Franklin Roosevelt,Democrat
1938,Franklin Roosevelt,Democrat
1939,Franklin Roosevelt,Democrat
1940,Franklin Roosevelt,Democrat
1941,Franklin Roosevelt,Democrat
1942,Franklin Roosevelt,Democrat
1943,Franklin Roosevelt,Democrat
1944,Franklin Roosevelt,Democrat
1945,Harry S. Truman,Democrat
1946,Harry S. Truman,Democrat
1947,Harry S. Truman,Democrat
1948,Harry S. Truman,Democrat
1949,Harry S. Truman,Democrat
1950,Harry S. Truman,Democrat
1951,Harry S. Truman,Democrat
1952,Harry S. Truman,Democrat
1953,Dwight D. Eisenhower,Republican
1954,Dwight D. Eisenhower,Republican
1955,Dwight D. Eisenhower,Republican
1956,Dwight D. Eisenhower,Republican
1957,Dwight D. Eisenhower,Republican
1958,Dwight D. Eisenhower,Republican
1959,Dwight D. Eisenhower,Republican
1960,Dwight D. Eisenhower,Republican
1961,John F. Kennedy,Democrat
1962,John F. Kennedy,Democrat
1963,Lyndon B. Johnson,Democrat
1964,Lyndon B. Johnson,Democrat
1965,Lyndon B. Johnson,Democrat
1966,Lyndon B. Johnson,Democrat
1967,Lyndon B. Johnson,Democrat
1968,Lyndon B. Johnson,Democrat
1969,Richard M. Nixon,Republican
1970,Richard M. Nixon,Republican
1971,Richard M. Nixon,Republican
1972,Richard M. Nixon,Republican
1973,Richard M. Nixon,Republican
1974,Gerald Ford,Republican
1975,Gerald Ford,Republican
1976,Gerald Ford,Republican
1977,Jimmy Carter,Democrat
1978,Jimmy Carter,Democrat
1979,Jimmy Carter,Democrat
1980,Jimmy Carter,Democrat
1981,Ronald Reagan,Republican
1982,Ronald Reagan,Republican
1983,Ronald Reagan,Republican
1984,Ronald Reagan,Republican
1985,Ronald Reagan,Republican
1986,Ronald Reagan,Republican
1987,Ronald Reagan,Republican
1988,Ronald Reagan,Republican
1989,George Bush,Republican
1990,George Bush,Republican
1991,George Bush,Republican
1992,George Bush,Republican
1993,Bill Clinton,Democrat
1994,Bill Clinton,Democrat
1995,Bill Clinton,Democrat
1996,Bill Clinton,Democrat
1997,Bill Clinton,Democrat
1998,Bill Clinton,Democrat
1999,Bill Clinton,Democrat
2000,Bill Clinton,Democrat
2001,George W. Bush,Republican
2002,George W. Bush,Republican
2003,George W. Bush,Republican
2004,George W. Bush,Republican
2005,George W. Bush,Republican
2006,George W. Bush,Republican
2007,George W. Bush,Republican
2008,George W. Bush,Republican
2009,Barack Obama,Democrat
